Designator,Seed Package,Quantity,Value,Seeed SKU,
JP2,,1,OUTPUT,,
C5,,1,CP1,,
JP1,,1,AVR_ISP,,
Q1,SOT-23,1,NPN,0400000P1 ,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=41
U1,QFN 44,1,ATMEGA16U4/32U4,310010016,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=478
F1,1206,1,500mA,0900030P1 ,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=71
"R3,R4",0402,2,22pF,301010052,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=504
"R5,R8,R1",0402,3,1K,301010006,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=254
R2,0402,1,10k,301010004,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=256
"C4,C3",0402,2,1uF,302010040,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=470
D2,SOD-123,1,DIODE,304020028,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=207
"R6,R7",0402,2,330,301010466,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=503
"C2,C1",0402,2,22pF,302010018,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=333
Y1,2P-SMD-5.0X3.2 ,1,16MHz,0500290P1,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=54
D1,0603,1,LED,0330010P1 ,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=6
CON1,,1,USB Micro,320010012,http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=339
S1,,1,RESET,,
CON2,,1,BARREL_JACK,,
